probability	fixed_query	eng_words	generated_translit	source
0	8438	rosabelle	росабелле	other
0	8438	sacre coeur	сакр коеур	other
0	8438	sacre coeur	сакре коеур	other
77	Триммер	primer	пример	other
0	7317	rosabelle	росабелле	other
0	7317	sacre coeur	сакр коеур	other
0	7317	sacre coeur	сакре коеур	other
0	11016	rosabelle	росабелле	other
0	11016	sacre coeur	сакр коеур	other
0	11016	sacre coeur	сакре коеур	other
0	0784	rosabelle	росабелле	other
0	0784	sacre coeur	сакр коеур	other
0	0784	sacre coeur	сакре коеур	other
80	Омегп	omega	омега	other
0	St414	rosabelle	росабелле	other
0	St414	sacre coeur	сакр коеур	other
0	St414	sacre coeur	сакре коеур	other
0	6221	rosabelle	росабелле	other
0	6221	sacre coeur	сакр коеур	other
0	6221	sacre coeur	сакре коеур	other
0	8650	rosabelle	росабелле	other
0	8650	sacre coeur	сакр коеур	other
0	8650	sacre coeur	сакре коеур	other
0	191711	rosabelle	росабелле	other
0	191711	sacre coeur	сакр коеур	other
0	191711	sacre coeur	сакре коеур	other
0	3501	rosabelle	росабелле	other
0	3501	sacre coeur	сакр коеур	other
0	3501	sacre coeur	сакре коеур	other
55	лак для ногтей	lancelot	ланкелот	other
0	0539	rosabelle	росабелле	other
0	0539	sacre coeur	сакр коеур	other
0	0539	sacre coeur	сакре коеур	other
45	Артикул+ 81460	beautiful	беаутифул	other
50	Солнечная облепиха	beau monde	беау монде	other
67	суп	spf	спф	other
0	3308	rosabelle	росабелле	other
0	3308	sacre coeur	сакр коеур	other
0	3308	sacre coeur	сакре коеур	other
0	2391	rosabelle	росабелле	other
0	2391	sacre coeur	сакр коеур	other
0	2391	sacre coeur	сакре коеур	other
0	beautylab	rosabelle	росабелле	other
0	beautylab	sacre coeur	сакр коеур	other
0	beautylab	sacre coeur	сакре коеур	other
0	146w2502	rosabelle	росабелле	other
0	146w2502	sacre coeur	сакр коеур	other
0	146w2502	sacre coeur	сакре коеур	other
0	15331	rosabelle	росабелле	other
0	15331	sacre coeur	сакр коеур	other
0	15331	sacre coeur	сакре коеур	other
0	8375	rosabelle	росабелле	other
0	8375	sacre coeur	сакр коеур	other
0	8375	sacre coeur	сакре коеур	other
0	1869	rosabelle	росабелле	other
0	1869	sacre coeur	сакр коеур	other
0	1869	sacre coeur	сакре коеур	other
100	Топ	top	топ	other
100	Топ	dry top coat	дри топ коат	other
100	Топ	top coat	топ коат	other
53	подарочный	promenade	променейд	other
67	кисть	crystal	кристал	other
67	кисть	chris	крис	other
57	кошелёк	cocktail	коктейл	other
62	Неглиже	deline	делине	other
62	Неглиже	felice	фелисе	other
62	Неглиже	goldie	голдие	other
62	Неглиже	energy	энерги	other
0	1839	rosabelle	росабелле	other
0	1839	sacre coeur	сакр коеур	other
0	1839	sacre coeur	сакре коеур	other
57	тональный	total	тотал	other
0	0931	rosabelle	росабелле	other
0	0931	sacre coeur	сакр коеур	other
0	0931	sacre coeur	сакре коеур	other
0	11537	rosabelle	росабелле	other
0	11537	sacre coeur	сакр коеур	other
0	11537	sacre coeur	сакре коеур	other
0	31008	rosabelle	росабелле	other
0	31008	sacre coeur	сакр коеур	other
0	31008	sacre coeur	сакре коеур	other
0	0722	rosabelle	росабелле	other
0	0722	sacre coeur	сакр коеур	other
0	0722	sacre coeur	сакре коеур	other
0	8613	rosabelle	росабелле	other
0	8613	sacre coeur	сакр коеур	other
0	8613	sacre coeur	сакре коеур	other
0	0510	rosabelle	росабелле	other
0	0510	sacre coeur	сакр коеур	other
0	0510	sacre coeur	сакре коеур	other
0	44017	rosabelle	росабелле	other
0	44017	sacre coeur	сакр коеур	other
0	44017	sacre coeur	сакре коеур	other
62	Кайал	skyline	скайлайн	other
0	15114	rosabelle	росабелле	other
0	15114	sacre coeur	сакр коеур	other
0	15114	sacre coeur	сакре коеур	other
67	Теней	nail	нейл	other
67	Теней	intense	интенсе	other
50	щипцы	deep	дип	other
0	40091	rosabelle	росабелле	other
0	40091	sacre coeur	сакр коеур	other
0	40091	sacre coeur	сакре коеур	other
0	0878	rosabelle	росабелле	other
0	0878	sacre coeur	сакр коеур	other
0	0878	sacre coeur	сакре коеур	other
67	Пробные	provence	провенке	other
73	скраб	sakura	сакура	other
60	шарф	parfum	парфум	other
0	9001	rosabelle	росабелле	other
0	9001	sacre coeur	сакр коеур	other
0	9001	sacre coeur	сакре коеур	other
0	195430	rosabelle	росабелле	other
0	195430	sacre coeur	сакр коеур	other
0	195430	sacre coeur	сакре коеур	other
53	платье из фактурного	plaque control	плакве контрол	other
0	217702	rosabelle	росабелле	other
0	217702	sacre coeur	сакр коеур	other
0	217702	sacre coeur	сакре коеур	other
0	6284	rosabelle	росабелле	other
0	6284	sacre coeur	сакр коеур	other
0	6284	sacre coeur	сакре коеур	other
52	дезодорант мужской	aromania musk	ароманиа муск	other
0	192064	rosabelle	росабелле	other
0	192064	sacre coeur	сакр коеур	other
0	192064	sacre coeur	сакре коеур	other
0	Pacific	rosabelle	росабелле	other
0	Pacific	sacre coeur	сакр коеур	other
0	Pacific	sacre coeur	сакре коеур	other
0	1190	rosabelle	росабелле	other
0	1190	sacre coeur	сакр коеур	other
0	1190	sacre coeur	сакре коеур	other
60	мыло	melodie	мелоди	other
60	мыло	merlon	мерлон	other
0	11262	rosabelle	росабелле	other
0	11262	sacre coeur	сакр коеур	other
0	11262	sacre coeur	сакре коеур	other
0	2190	rosabelle	росабелле	other
0	2190	sacre coeur	сакр коеур	other
